name,address,latitude,longitude
학동중앙점,서울특별시 강남구 도산대로 326,37.51962,127.0281081
압구정타운점,서울특별시 강남구 논현로 842,37.5025503,127.0361212
청담역점,서울특별시 강남구 삼성로 716,37.5067233,127.0566608
한남오거리점,서울특별시 용산구 독서당로 65-1,37.5311476,127.0077012
순천향입구점,서울특별시 용산구 대사관로 71,37.5349071,126.9993428
세종로점,서울특별시 종로구 세종대로 161,37.5704671,126.9772526
은행사거리점,서울특별시 노원구 한글비석로 264,37.65887,127.07371
강남구청역점,서울특별시 강남구 선릉로 703,37.51767015,127.04084832812009
시청역점,서울특별시 중구 세종대로16길 1,37.5635035,126.9770237
창동역점,서울특별시 도봉구 노해로63길 84-16,37.6518612,127.0423351
천호현대점,서울특별시 강동구 올림픽로 664,37.54128,127.12434
노원역사거리점,서울특별시 노원구 노해로 480,37.6539346,127.0589604
창동점,서울특별시 도봉구 마들로11길 57,37.65404545,127.05125906206726
봉은사역점,서울특별시 강남구 영동대로 602,37.5199698,127.056947
천호엔터식스점,서울특별시 강동구 천호대로 지하,0.0,0.0
천호중앙점,서울특별시 강동구 천호대로 1027,37.5377854,127.1265483
노원점,서울특별시 노원구 상계로 65,37.65809,127.06864
대한통운본사점,서울특별시 중구 세종대로9길 53,37.5623581,126.9734229
이태원중앙점,서울특별시 용산구 이태원로 180,37.5342289,126.9942187
씨제이남산더센터점,서울특별시 중구 소월로2길 12,37.5542795,126.9765175
올리브영 가로수길 타운,서울특별시 강남구 도산대로 133,37.51962,127.0281081
서울스퀘어점,서울특별시 중구 한강대로 416,37.5556985,126.9736225
정동점,서울특별시 중구 새문안로 26,37.5661569,126.9671166
강동구청점,서울특별시 강동구 성내로 19,37.52893,127.12503
명일역점,서울특별시 강동구 양재대로 1637,37.5278376,127.1362641
서울역점,서울특별시 중구 한강대로 405,37.5545547,126.9707793
신사점,서울특별시 강남구 도산대로 116,37.51962,127.0281081
이태원입구점,서울특별시 용산구 이태원로 145,37.5345898,126.9899077
학동역점,서울특별시 강남구 학동로 177,37.5199698,127.056947
덕성여대점,서울특별시 도봉구 삼양로144길 17,37.6515195,127.0137039
잠실장미상가점,서울특별시 송파구 올림픽로35길 124,37.5199253,127.1129084
선정릉역점,서울특별시 강남구 선릉로 602,37.5105901,127.0440439
쌍문점,서울특별시 도봉구 도당로 2,37.66612,127.03784
코엑스몰점,서울특별시 강남구 테헤란로87길 22,37.5102562,127.0581011
파르나스몰점,서울특별시 강남구 테헤란로 521,37.508989,127.060704
신천점,서울특별시 송파구 올림픽로 116-1,37.5131489,127.1002527
종로평창점,서울특별시 종로구 평창문화로 51,37.6042804,126.9637087
트윈시티점,서울특별시 용산구 한강대로 366,37.5436856,126.9722081
홈플러스강동점,서울특별시 강동구 양재대로 1571,37.5458605,127.142537
홈플러스잠실점,서울특별시 송파구 올림픽로35가길 16,37.5167037,127.1032995
독립문점,서울특별시 종로구 송월길 99,37.5695902,126.9634175
잠실역8호선점,서울특별시 송파구 올림픽로 305,37.511058399999996,127.08767119999999
잠실점,서울특별시 송파구 올림픽로 269,37.5255478,127.1176179
길동사거리점,서울특별시 강동구 천호대로 1120,37.5377854,127.1265483
길동역점,서울특별시 강동구 양재대로 1481,37.5278376,127.1362641
상계보람점,서울특별시 노원구 한글비석로 471,37.65887,127.07371
언주역점,서울특별시 강남구 봉은사로 209,37.5135682,127.05643
롯데백화점잠실점,서울특별시 송파구 올림픽로 240,37.51110405,127.09823334105309
롯데월드몰점,서울특별시 송파구 올림픽로 300,37.5125366,127.1026546
롯데월드점,서울특별시 송파구 올림픽로 240,37.51110405,127.09823334105309
선릉역점,서울특별시 강남구 선릉로 513,37.523126,127.0391626
선릉타운점,서울특별시 강남구 테헤란로 411,37.5069402,127.0565359
송파구청점,서울특별시 송파구 오금로 87,37.5087088,127.1150475
숙대입구역점,서울특별시 용산구 한강대로 285,37.5436856,126.9722081
홈플러스방학점,서울특별시 도봉구 도봉로 678,37.6806064,127.0455927
방학역점,서울특별시 도봉구 도봉로150길 28,37.666019,127.0452408
선릉로점,서울특별시 강남구 테헤란로64길 20,37.5039306,127.0513461
선릉아이타워점,서울특별시 강남구 테헤란로 326,37.5069402,127.0565359
숙대점,서울특별시 용산구 청파로45길 19,37.5441215,126.9694468
잠실학원사거리점,서울특별시 송파구 석촌호수로 130,37.5144416,127.083925
고덕점,서울특별시 강동구 동남로75길 13-15,37.553814,127.15431
신논현점,서울특별시 서초구 강남대로 507,37.5034796,127.0248247
만리동점,서울특별시 중구 만리재로 175,37.553490800000006,126.9630962100162
둔촌점,서울특별시 강동구 양재대로 1317,37.5278376,127.1362641
방이시장점,서울특별시 송파구 백제고분로 460,37.5052873,127.1073082
신강남점,서울특별시 강남구 봉은사로2길 31,37.5028453,127.0261846
아현역점,서울특별시 서대문구 신촌로35길 10,37.5580649,126.9554001
용산리첸시아점,서울특별시 용산구 백범로 341,37.5400102,126.9596662
NC강남점,서울특별시 서초구 잠원로 51,37.5116593,127.0066907
강남파이낸스점,서울특별시 강남구 테헤란로 152,37.5001588,127.0366562
대치점,서울특별시 강남구 도곡로 448,37.49811285,127.05961491973548
석촌역점,서울특별시 송파구 백제고분로 387,37.5052873,127.1073082
역삼역점,서울특별시 강남구 테헤란로 138,37.5069402,127.0565359
한티역점,서울특별시 강남구 선릉로 312,37.523126,127.0391626
애오개역점,서울특별시 마포구 마포대로 201,37.5379407,126.9434293
올리브영 강남 플래그십,서울특별시 서초구 강남대로 429,37.5006755,127.0258228
배명사거리점,서울특별시 송파구 백제고분로 276,37.5052873,127.1073082
역삼점,서울특별시 강남구 테헤란로 115,37.5069402,127.0565359
강남엔터식스점,서울특별시 서초구 신반포로 지하,0.0,0.0
대치역점,서울특별시 강남구 남부순환로 2927,37.4936699,127.060248
올림픽아파트점,서울특별시 송파구 양재대로 1220,37.5152532,127.1332409
홍제역점,서울특별시 서대문구 통일로 446,37.5743387,126.9580677
강남중앙점,서울특별시 강남구 강남대로 372,37.5119737,127.0210057
공덕파크팰리스점,서울특별시 마포구 마포대로 143,37.5379407,126.9434293
상일동역점,서울특별시 강동구 고덕로 399,37.556801,127.1668589
남역삼점,서울특별시 강남구 논현로 318,37.5025503,127.0361212
동부이촌점,서울특별시 용산구 이촌로75길 16,0.0,0.0
방이역점,서울특별시 송파구 마천로 41,37.5049362,127.1341029
신용산역점,서울특별시 용산구 한강대로 95,37.5436856,126.9722081
용산아이파크몰점,서울특별시 용산구 한강대로23길 55,37.5301906,126.9651428
이대중앙점,서울특별시 서대문구 이화여대길 43,37.5591281,126.9429083
공덕역점,서울특별시 마포구 백범로 199,37.5435026,126.9527178
서초타운점,서울특별시 서초구 서초대로78길 32,37.4961675,127.0276682
수락산역점,서울특별시 노원구 동일로 1678,37.6485644,127.0644638
강남우성점,서울특별시 강남구 강남대로 320,37.491838400000006,127.0309855387718
서초유원점,서울특별시 서초구 서초중앙로24길 35,37.4948806,127.0153218
타워팰리스점,서울특별시 강남구 언주로30길 39,37.4879664,127.0521222
상일동점,서울특별시 강동구 상일로10길 36,37.550751,127.1745791
서초대로점,서울특별시 서초구 서초대로 314,37.4979756,127.0274773
신촌명물거리점,서울특별시 서대문구 명물길 54,37.5580945,126.9381019
마포역점,서울특별시 마포구 마포대로 53,37.5379407,126.9434293
서래마을점,서울특별시 서초구 서래로 39,37.49739,126.99831
신촌대로점,서울특별시 서대문구 신촌로 121,37.5552729,126.9367767
대흥역점,서울특별시 마포구 백범로 91,37.54823735,126.94177722354189
마포도화점,서울특별시 마포구 삼개로 20,37.5377456,126.9474246
양재대로점,서울특별시 서초구 강남대로 267,37.5034796,127.0248247
교대점,서울특별시 서초구 서초중앙로 95,37.4858131,127.0157906
녹번역점,서울특별시 은평구 은평로 240,37.599088,126.9159238
신촌연세점,서울특별시 서대문구 연세로 37,37.5600406,126.9369239
올리브영 신촌 타운,서울특별시 서대문구 연세로 10,37.557264,126.9368915
서강대점,서울특별시 마포구 백범로 21,37.5424849,126.9542078
양재스타클래스점,서울특별시 강남구 남부순환로 2615,37.49348,127.0612738
서초역점,서울특별시 서초구 반포대로 110,37.5095073,126.9991148
수서역점,서울특별시 강남구 밤고개로1길 10,37.4880133,127.1018308
신촌로터리점,서울특별시 마포구 서강로 133,37.5549534,126.9366361
신촌역점,서울특별시 서대문구 신촌로 79,37.5552729,126.9367767
양재역점,서울특별시 서초구 남부순환로 지하,0.0,0.0
일원역점,서울특별시 강남구 일원로 115,37.4836919,127.0843766
가락시장역점,서울특별시 송파구 중대로 105,37.50753,127.13288
연희점,서울특별시 서대문구 연희로 79,37.5661095,126.9296422
남부터미널점,서울특별시 서초구 효령로 283,37.484077,127.0114198
NC불광점,서울특별시 은평구 불광로 20,37.60970285,126.9289088772423
개롱역점,"서울특별시 송파구 오금로 412,",37.5087088,127.1150475
불광역점,서울특별시 은평구 통일로 736,37.6409267,126.9158024
창천점,서울특별시 서대문구 신촌로 17,37.5577064,126.9585367
