대상연월,요일,time,출발 행정동 코드,도착 행정동 코드,성별,이동인구(합),adm_nm_x,start_point,adm_nm_y,end_point,normalized_이동인구
202204,토,점심,1123063,1123064,F,792.25,서울특별시 강남구 대치4동,"[127.05499069193601, 37.5010195316422]",서울특별시 강남구 역삼1동,"[127.04126078797715, 37.5039870859614]",0.029347342514325466
202204,토,점심,1103069,1103069,F,791.31,서울특별시 용산구 서빙고동,"[126.98900825948841, 37.52233793685189]",서울특별시 용산구 서빙고동,"[126.98900825948841, 37.52233793685189]",0.02931252206375624
202204,토,점심,1111051,1111051,F,790.81,서울특별시 노원구 월계1동,"[127.0610867536061, 37.619965492040826]",서울특별시 노원구 월계1동,"[127.0610867536061, 37.619965492040826]",0.029294000547496018
202204,토,점심,1118051,1117056,F,790.14,서울특별시 금천구 가산동,"[126.88545529879944, 37.47771922853849]",서울특별시 구로구 구로5동,"[126.88734984414937, 37.50169755610519]",0.029269181715707318
202204,토,점심,1122057,1123064,F,789.15,서울특별시 서초구 반포1동,"[127.01471802419195, 37.504467519574966]",서울특별시 강남구 역삼1동,"[127.04126078797715, 37.5039870859614]",0.029232509113512075
202204,토,점심,1123078,1123064,F,786.68,서울특별시 강남구 청담동,"[127.05055897710258, 37.523705060966414]",서울특별시 강남구 역삼1동,"[127.04126078797715, 37.5039870859614]",0.029141012823186565
202204,토,점심,1116067,1116054,F,785.84,서울특별시 강서구 발산1동,"[126.82410283854011, 37.54764494480369]",서울특별시 강서구 등촌3동,"[126.84325843251658, 37.562154440199244]",0.02910989667586939
202204,토,점심,1122065,1122060,F,784.97,서울특별시 서초구 방배4동,"[126.9911096164187, 37.49042331006428]",서울특별시 서초구 반포4동,"[127.0000666505004, 37.49835158340895]",0.0290776692375766
202204,토,점심,1111065,1111065,F,784.14,서울특별시 노원구 상계1동,"[127.06598029479541, 37.68477926221974]",서울특별시 노원구 상계1동,"[127.06598029479541, 37.68477926221974]",0.029046923520584626
202204,토,점심,1119063,1119054,F,783.69,서울특별시 영등포구 신길1동,"[126.91949193086728, 37.51397793452939]",서울특별시 영등포구 여의동,"[126.92512005925903, 37.52669811644704]",0.029030254155950428
202204,토,점심,1106072,1106071,F,783.04,서울특별시 동대문구 휘경1동,"[127.06068751784204, 37.591472600892374]",서울특별시 동대문구 회기동,"[127.05109555633642, 37.59523079080109]",0.029006176184812132
202204,토,점심,1114074,1114066,F,782.14,서울특별시 마포구 상암동,"[126.88560088415761, 37.57518748973119]",서울특별시 마포구 서교동,"[126.92056224341965, 37.554231410096335]",0.02897283745554373
202204,토,점심,1114077,1114066,F,781.57,서울특별시 마포구 공덕동,"[126.95889103733177, 37.5502351114788]",서울특별시 마포구 서교동,"[126.92056224341965, 37.554231410096335]",0.028951722927007074
202204,토,점심,1123063,1123079,F,781.01,서울특별시 강남구 대치4동,"[127.05499069193601, 37.5010195316422]",서울특별시 강남구 대치2동,"[127.07019806083031, 37.49917605917884]",0.028930978828795622
202204,토,점심,1105054,1105059,F,779.9300000000001,서울특별시 광진구 군자동,"[127.07578921306951, 37.55298508359802]",서울특별시 광진구 능동,"[127.08139426911437, 37.55090497310224]",0.02889097235367354
202204,토,점심,1107060,1107060,F,779.4,서울특별시 중랑구 상봉2동,"[127.08357033741395, 37.59431197188415]",서울특별시 중랑구 상봉2동,"[127.08357033741395, 37.59431197188415]",0.0288713395464377
202204,토,점심,1101061,1102060,F,777.98,서울특별시 종로구 종로1·2·3·4가동,"[126.99095460165246, 37.575603142178714]",서울특별시 중구 을지로동,"[126.9965108360412, 37.566119114293336]",0.028818738440258663
202204,토,점심,1101054,1101072,F,776.79,서울특별시 종로구 삼청동,"[126.98291522013217, 37.58672783633626]",서울특별시 종로구 청운효자동,"[126.96875675335039, 37.58528149031952]",0.02877465723155933
202204,토,점심,1123051,1123064,F,776.65,서울특별시 강남구 신사동,"[127.02261228179378, 37.52608291359223]",서울특별시 강남구 역삼1동,"[127.04126078797715, 37.5039870859614]",0.028769471207006465
202204,토,점심,1119056,1119062,F,776.07,서울특별시 영등포구 당산2동,"[126.90619993938657, 37.53024586004131]",서울특별시 영등포구 양평2동,"[126.89356198527939, 37.5406499306347]",0.02874798624814461
202204,토,점심,1124064,1124064,F,775.88,서울특별시 송파구 삼전동,"[127.09511802392005, 37.50110294105246]",서울특별시 송파구 삼전동,"[127.09511802392005, 37.50110294105246]",0.02874094807196572
202204,토,점심,1124079,1124077,F,775.34,서울특별시 송파구 잠실2동,"[127.08123212498766, 37.5174459371145]",서울특별시 송파구 잠실6동,"[127.09932914555756, 37.51855996471403]",0.02872094483440468
202204,토,점심,1104068,1105053,F,774.68,서울특별시 성동구 성수2가3동,"[127.05932761084482, 37.54766855929547]",서울특별시 광진구 화양동,"[127.07837402315909, 37.54326627301307]",0.02869649643294118
202204,토,점심,1103066,1103065,F,773.93,서울특별시 용산구 이태원2동,"[126.99273496066886, 37.54069203142612]",서울특별시 용산구 이태원1동,"[126.99092599080859, 37.53332899937541]",0.028668714158550844
202204,토,점심,1101063,1101061,F,773.55,서울특별시 종로구 종로5·6가동,"[127.0050373801426, 37.57346758551857]",서울특별시 종로구 종로1·2·3·4가동,"[126.99095460165246, 37.575603142178714]",0.028654637806193074
202204,토,점심,1111060,1111060,F,769.64,서울특별시 노원구 중계본동,"[127.08612919410554, 37.646879622932296]",서울특별시 노원구 중계본동,"[127.08612919410554, 37.646879622932296]",0.02850979954903812
202204,토,점심,1122055,1122059,F,767.75,서울특별시 서초구 잠원동,"[127.0121972411564, 37.51647808804724]",서울특별시 서초구 반포3동,"[127.00632473925569, 37.51279185198056]",0.028439788217574473
202204,토,점심,1123052,1123077,F,767.39,서울특별시 강남구 논현1동,"[127.02745939058589, 37.513855035233846]",서울특별시 강남구 압구정동,"[127.03314668642571, 37.52783236839773]",0.02842645272586711
202204,토,점심,1108083,1108082,F,765.85,서울특별시 성북구 동선동,"[127.01832465573933, 37.59296981556955]",서울특별시 성북구 삼선동,"[127.01213516645666, 37.58779798512902]",0.02836940645578562
202204,토,점심,1122062,1122062,F,764.67,서울특별시 서초구 방배1동,"[126.99839044191174, 37.484573348485334]",서울특별시 서초구 방배1동,"[126.99839044191174, 37.484573348485334]",0.02832569567741149
202204,토,점심,1120053,1120054,F,762.35,서울특별시 동작구 상도1동,"[126.95337771944237, 37.49792108014235]",서울특별시 동작구 상도2동,"[126.93905771846174, 37.505026588943174]",0.028239755841964052
